LICENSE TYPE, No Priori, United States, Canada, India, United Kingdom, Australia, Japan, English, Spanish, French, Arabic, Chinese (Simplified), Indonesian
https://creativecommons.org/licenses/by/2.5,235000000,208000000,112000,82400,406000,701000,76800,225000000,3940000,835000,88300,235000000,115000
https://creativecommons.org/licenses/by/4.0,412000000,334000000,702000,360000,7250000,770000,675000,381000000,16100000,5260000,255000,412000000,11900000
https://creativecommons.org/licenses/by-nc-sa/2.5,31400000,22700000,21200,5400,83000,15000,10300,29800000,254000,248000,1580,31400000,7480
https://creativecommons.org/licenses/nc/1.0,54600000,43400000,25100,8390,128000,22200,30500,53600000,136000,479000,3760,54500000,81500
https://creativecommons.org/licenses/by-nc-sa/1.0,24000000,17400000,11300,3810,59100,11900,10600,23300000,66900,276000,1220,24000000,42900
https://creativecommons.org/licenses/by/2.1,219000000,189000000,132000,56200,477000,139000,269000,211000000,494000,232000,19800,219000000,119000
https://creativecommons.org/licenses/nc-sampling+/1.0,41200000,32000000,12900,4590,82300,14600,18800,41000000,52800,37800,381,41200000,31100
https://creativecommons.org/licenses/by-sa/4.0,175000000,140000000,126000,79300,341000,103000,123000,158000000,6800000,3860000,81300,175000000,626000
https://creativecommons.org/licenses/by/2.1,217000000,189000000,120000,55500,456000,134000,278000,209000000,219000,241000,20300,217000000,116000
https://creativecommons.org/licenses/by-nc-nd/2.1,66000000,51100000,21000,9200,144000,25100,30400,64300000,167000,581000,3690,66100000,19300
https://creativecommons.org/licenses/by-nc/3.0,88200000,77800000,32000,14000,289000,91900,43000,85000000,7630000,6890000,13700,88300000,40200
https://creativecommons.org/licenses/by/2.1,269000000,235000000,122000,54500,477000,124000,277000,261000000,455000,1900000,20100,269000000,113000
https://creativecommons.org/licenses/by-nd/2.0,32500000,23600000,17000,6910,57500,19500,20100,31200000,121000,47200,5290,32500000,7660
https://creativecommons.org/licenses/by-nc-sa/3.0,35800000,29800000,18000,5760,149000,69400,12200,33700000,623000,4440000,7890,35800000,16000
https://creativecommons.org/licenses/sa/1.0,120000000,101000000,23500,16600,167000,56500,24400,116000000,247000,314000,29100,120000000,213000
https://creativecommons.org/licenses/sa/1.0,120000000,101000000,23500,16600,167000,56500,24400,116000000,247000,314000,29100,120000000,213000
https://creativecommons.org/licenses/by-nc-sa/2.0,20400000,13800000,21400,3730,65000,21700,9270,19100000,92600,773000,4470,20400000,5740
https://creativecommons.org/licenses/by-sa/2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://creativecommons.org/licenses/nd-nc/1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
