"CC legal tool","Count"
"CC BY 2.0 AT","550000000"
"CC BY 2.0 IT","550000000"
"CC BY 2.0 BE","549000000"
"CC BY 3.0 IT","548000000"
"CC BY 3.0 AT","524000000"
"CC BY 3.0 FR","518000000"
"CC BY 3.0 NO","511000000"
"CC BY 3.0 US","486000000"
"CC BY 2.0 DE","432000000"
"CC BY 3.0 DE","407000000"
"CC BY 4.0","324000000"
"CC BY-ND 4.0","322000000"
"CC BY 3.0 IE","318000000"
"CC BY-SA 2.0 IT","284000000"
"CC BY-SA 2.0 BE","279000000"
"CC BY-SA 3.0 IT","279000000"
"CC BY-SA 2.0 AT","279000000"
"CC BY-SA 3.0 FR","276000000"
"CC BY 2.0 UK","274000000"
"CC BY-SA 3.0 AT","272000000"
"CC BY-SA 3.0 NO","268000000"
"CC BY-SA 3.0 US","251000000"
"CC BY-SA 2.0 DE","244000000"
"CC BY-SA 3.0 DE","237000000"
"CC BY 3.0 PH","228000000"
