"Language","Count"
"English","984250000"
"Spanish","26995000"
"Portuguese","25724700"
"Indonesian","13715410"
"French","13142700"
"Russian","12812500"
"German","9618900"
"Chinese (Simplified)","7332500"
"Japanese","3196200"
"Turkish","2174110"
"Italian","1989300"
"Polish","1152400"
"Dutch","864800"
"Czech","829900"
"Swedish","533800"
"Korean","527970"
"Greek","520290"
"Catalan","511570"
"Serbian","501580"
"Arabic","405180"
"Norwegian","399100"
"Chinese (Traditional)","362710"
"Finnish","332430"
"Hungarian","328900"
"Slovenian","309800"
"Croatian","285110"
"Romanian","250250"
"Danish","207410"
"Lithuanian","189680"
"Slovak","142210"
"Bulgarian","140100"
"Estonian","137660"
"Hebrew","127927"
"Latvian","110000"
"Icelandic","48898"
