"LICENSE","FILE_COUNT","PAGE_COUNT"
"CC-BY-4.0","4938662","1"
"CC-BY-SA-4.0","31157944","2"
"CC-BY-NC-4.0","3","1"
"CC-BY-NC-SA-4.0","235","0"
"CC-BY-NC-ND-4.0","0","0"
"CC-BY-ND-4.0","0","0"
"CC-BY-3.0","3524336","124"
"CC-BY-SA-3.0","14711405","1"
"CC-BY-NC-3.0","7360","2"
"CC-BY-NC-SA-3.0","0","0"
"CC-BY-NC-ND-3.0","0","0"
"CC-BY-ND-3.0","0","0"
"CC-BY-2.5","460944","0"
"CC-BY-SA-2.5","2290286","0"
"CC-BY-NC-2.5","0","0"
"CC-BY-NC-SA-2.5","0","0"
"CC-BY-NC-ND-2.5","0","0"
"CC-BY-ND-2.5","0","0"
"CC-BY-2.0","7750438","0"
"CC-BY-SA-2.0","15475190","13"
"CC-BY-NC-2.0","0","0"
"CC-BY-NC-SA-2.0","0","0"
"CC-BY-NC-ND-2.0","0","0"
"CC-BY-ND-2.0","0","0"
"CC-BY-1.0","28737","0"
"CC-BY-SA-1.0","1922661","1"
"CC-BY-NC-1.0","0","0"
"CC-BY-NC-SA-1.0","0","0"
"CC-BY-NC-ND-1.0","0","0"
"CC-BY-ND-1.0","0","0"
"CC0-1.0","0","0"
"PDM-1.0","0","0"
