"TOOL_IDENTIFIER","YEAR","COUNT"
"CC BY 3.0","2008","3"
"CC BY 3.0","2009","878"
"CC BY 3.0","2010","574"
"CC BY 3.0","2011","640"
"CC BY 3.0","2012","899"
"CC BY 3.0","2013","1173"
"CC BY 3.0","2014","1376"
"CC BY 3.0","2015","1817"
"CC BY 3.0","2016","271"
"CC BY 3.0","2017","73"
"CC BY 3.0","2018","43"
"CC BY 3.0","2019","114"
"CC BY 3.0","2020","15"
"CC BY 3.0","2021","7"
"CC BY 3.0","2022","7"
"CC BY 3.0","2023","14"
"CC BY 3.0","2024","6"
"CC BY 3.0","2025","3"
"CC BY 4.0","2015","572"
"CC BY 4.0","2016","1507"
"CC BY 4.0","2017","2083"
"CC BY 4.0","2018","3897"
"CC BY 4.0","2019","5051"
"CC BY 4.0","2020","10676"
"CC BY 4.0","2021","48129"
"CC BY 4.0","2022","63751"
"CC BY 4.0","2023","78739"
"CC BY 4.0","2024","99166"
"CC BY 4.0","2025","150068"
"CC BY 4.0","2026","21793"
"CC BY-NC-ND 4.0","2020","770"
"CC BY-NC-ND 4.0","2021","9070"
"CC BY-NC-ND 4.0","2022","10792"
"CC BY-NC-ND 4.0","2023","12851"
"CC BY-NC-ND 4.0","2024","16855"
"CC BY-NC-ND 4.0","2025","23070"
"CC BY-NC-ND 4.0","2026","2964"
"CC BY-NC-SA 3.0","2008","30"
"CC BY-NC-SA 3.0","2009","631"
"CC BY-NC-SA 3.0","2010","693"
"CC BY-NC-SA 3.0","2011","552"
"CC BY-NC-SA 3.0","2012","659"
"CC BY-NC-SA 3.0","2013","847"
"CC BY-NC-SA 3.0","2014","991"
"CC BY-NC-SA 3.0","2015","1162"
"CC BY-NC-SA 3.0","2016","114"
"CC BY-NC-SA 3.0","2017","38"
"CC BY-NC-SA 3.0","2018","27"
"CC BY-NC-SA 3.0","2019","73"
"CC BY-NC-SA 3.0","2020","13"
"CC BY-NC-SA 3.0","2021","16"
"CC BY-NC-SA 3.0","2022","10"
"CC BY-NC-SA 3.0","2023","14"
"CC BY-NC-SA 3.0","2024","3"
"CC BY-NC-SA 3.0","2025","1"
"CC BY-NC-SA 4.0","2015","348"
"CC BY-NC-SA 4.0","2016","837"
"CC BY-NC-SA 4.0","2017","809"
"CC BY-NC-SA 4.0","2018","1585"
"CC BY-NC-SA 4.0","2019","2092"
"CC BY-NC-SA 4.0","2020","3115"
"CC BY-NC-SA 4.0","2021","5560"
"CC BY-NC-SA 4.0","2022","6557"
"CC BY-NC-SA 4.0","2023","8230"
"CC BY-NC-SA 4.0","2024","10997"
"CC BY-NC-SA 4.0","2025","15624"
"CC BY-NC-SA 4.0","2026","1996"
"CC BY-SA 4.0","2015","102"
"CC BY-SA 4.0","2016","300"
"CC BY-SA 4.0","2017","304"
"CC BY-SA 4.0","2018","540"
"CC BY-SA 4.0","2019","699"
"CC BY-SA 4.0","2020","1031"
"CC BY-SA 4.0","2021","2573"
"CC BY-SA 4.0","2022","3145"
"CC BY-SA 4.0","2023","3917"
"CC BY-SA 4.0","2024","5306"
"CC BY-SA 4.0","2025","7512"
"CC BY-SA 4.0","2026","1048"
"CC0 1.0","2015","143"
"CC0 1.0","2016","374"
"CC0 1.0","2017","378"
"CC0 1.0","2018","630"
"CC0 1.0","2019","761"
"CC0 1.0","2020","1127"
"CC0 1.0","2021","2411"
"CC0 1.0","2022","2725"
"CC0 1.0","2023","3017"
"CC0 1.0","2024","3371"
"CC0 1.0","2025","4155"
"CC0 1.0","2026","525"
