LICENSE TYPE,Document Count
licenses/by/1.0,88400000
licenses/by-nc/1.0,26400000
licenses/by-nc-sa/1.0,7320000
licenses/by-nd/1.0,102000000
licenses/by-nd-nc/1.0,28700000
licenses/by-sa/1.0,44300000
licenses/nc/1.0,27000000
licenses/nc-sa/1.0,7470000
licenses/nc-sampling+/1.0,2310
licenses/nd/1.0,98000000
licenses/nd-nc/1.0,24800000
licenses/sa/1.0,40500000
licenses/sampling/1.0,64100000
licenses/sampling+/1.0,5480
licenses/by/2.0,73200000
licenses/by-nc/2.0,20800000
licenses/by-nc-nd/2.0,24400000
licenses/by-nc-sa/2.0,2930000
licenses/by-nd/2.0,71400000
licenses/by-nd-nc/2.0,18100000
licenses/by-sa/2.0,33800000
licenses/devnations/2.0,113
licenses/nc/2.0,18500000
licenses/nc-sa/2.0,2830000
licenses/nd/2.0,68200000
licenses/nd-nc/2.0,23600000
licenses/sa/2.0,32000000
licenses/by/2.1,63700000
licenses/by-nc/2.1,24500000
licenses/by-nc-nd/2.1,24100000
licenses/by-nc-sa/2.1,9770000
licenses/by-nd/2.1,66300000
licenses/by-sa/2.1,32500000
licenses/by/2.5,80100000
licenses/by-nc/2.5,26200000
licenses/by-nc-nd/2.5,28600000
licenses/by-nc-sa/2.5,8410000
licenses/by-nd/2.5,81600000
licenses/by-sa/2.5,32400000
licenses/by/3.0,83000000
licenses/by-nc/3.0,26000000
licenses/by-nc-nd/3.0,27400000
licenses/by-nc-sa/3.0,6150000
licenses/by-nd/3.0,86700000
licenses/by-sa/3.0,43500000
licenses/by/4.0,238000000
licenses/by-nc/4.0,75900000
licenses/by-nc-nd/4.0,94200000
licenses/by-nc-sa/4.0,30900000
licenses/by-nd/4.0,228000000
licenses/by-sa/4.0,127000000
publicdomain/mark/1.0,17500000
publicdomain/zero/1.0,39600000
